ticket_id,created_at,channel,region,category,subcategory,priority,status,first_response_time_min,resolution_time_hours,csat_score,agent_team,sla_breached,ai_generated_summary
TCK-100018,2026-03-20 20:00:00,Email,Spain,Refund Request,refund denied,High,Resolved,105,13.81,3.9,Tier 2,1,Ticket about refund denied. Customer contacted via Email in Spain. Priority high. Suggested root cause: refund denied. Recommended action: expedite specialist review.
TCK-100019,2025-11-22 04:00:00,Email,Brazil,Check-in Problem,late check-in,Medium,Resolved,176,8.05,3.2,Payments Desk,1,Ticket about late check-in. Customer contacted via Email in Brazil. Priority medium. Suggested root cause: late check-in. Recommended action: standard troubleshooting.
TCK-100020,2026-01-13 23:00:00,Chat,Brazil,Refund Request,refund delay,Urgent,Resolved,11,13.33,4.2,Host Support,1,Ticket about refund delay. Customer contacted via Chat in Brazil. Priority urgent. Suggested root cause: refund delay. Recommended action: expedite specialist review.
TCK-100021,2025-10-24 14:00:00,Chat,Portugal,Payment & Card,card declined,Urgent,Resolved,10,9.39,3.4,Guest Support,0,Ticket about card declined. Customer contacted via Chat in Portugal. Priority urgent. Suggested root cause: card declined. Recommended action: expedite specialist review.
TCK-100022,2026-02-22 10:00:00,Chat,Spain,Refund Request,refund denied,Medium,Pending,12,19.79,4.3,Payments Desk,1,Ticket about refund denied. Customer contacted via Chat in Spain. Priority medium. Suggested root cause: refund denied. Recommended action: standard troubleshooting.
TCK-100023,2026-02-27 12:00:00,Email,Mexico,Payment & Card,chargeback,Medium,Resolved,137,16.21,3.4,Guest Support,1,Ticket about chargeback. Customer contacted via Email in Mexico. Priority medium. Suggested root cause: chargeback. Recommended action: standard troubleshooting.
TCK-100024,2025-12-18 13:00:00,Email,US,Payment & Card,card declined,High,Resolved,96,12.7,4.3,Tier 1,1,Ticket about card declined. Customer contacted via Email in US. Priority high. Suggested root cause: card declined. Recommended action: expedite specialist review.
TCK-100025,2025-10-11 17:00:00,Chat,Spain,Check-in Problem,late check-in,High,Resolved,15,8.54,2.4,Tier 2,0,Ticket about late check-in. Customer contacted via Chat in Spain. Priority high. Suggested root cause: late check-in. Recommended action: expedite specialist review.
TCK-100026,2026-03-11 08:00:00,WhatsApp,Mexico,Refund Request,partial refund,Low,Pending,50,22.69,3.3,Payments Desk,1,Ticket about partial refund. Customer contacted via WhatsApp in Mexico. Priority low. Suggested root cause: partial refund. Recommended action: standard troubleshooting.
TCK-100027,2026-02-22 13:00:00,Email,US,Cancellation,host cancellation,Low,Pending,178,8.13,3.6,Tier 1,1,Ticket about host cancellation. Customer contacted via Email in US. Priority low. Suggested root cause: host cancellation. Recommended action: standard troubleshooting.
TCK-100028,2025-12-24 20:00:00,WhatsApp,Mexico,Refund Request,refund delay,Medium,Resolved,38,21.25,3.1,Tier 2,1,Ticket about refund delay. Customer contacted via WhatsApp in Mexico. Priority medium. Suggested root cause: refund delay. Recommended action: standard troubleshooting.
TCK-100029,2025-10-26 17:00:00,Email,US,Cancellation,policy dispute,High,Resolved,90,7.4,4.8,Tier 1,1,Ticket about policy dispute. Customer contacted via Email in US. Priority high. Suggested root cause: policy dispute. Recommended action: expedite specialist review.
TCK-100030,2025-11-01 20:00:00,WhatsApp,Portugal,Refund Request,refund delay,Medium,Escalated,37,16.83,3.9,Tier 1,1,Ticket about refund delay. Customer contacted via WhatsApp in Portugal. Priority medium. Suggested root cause: refund delay. Recommended action: standard troubleshooting.
TCK-100031,2025-11-26 04:00:00,WhatsApp,Spain,Cancellation,guest cancellation,Urgent,Escalated,25,9.13,3.7,Payments Desk,0,Ticket about guest cancellation. Customer contacted via WhatsApp in Spain. Priority urgent. Suggested root cause: guest cancellation. Recommended action: expedite specialist review.
TCK-100032,2026-02-22 09:00:00,WhatsApp,Mexico,Account Access,account locked,Medium,Resolved,32,3.14,3.2,Tier 1,0,Ticket about account locked. Customer contacted via WhatsApp in Mexico. Priority medium. Suggested root cause: account locked. Recommended action: standard troubleshooting.
TCK-100033,2025-10-21 19:00:00,Email,US,Account Access,2fa issue,Medium,Resolved,150,4.57,3.8,Guest Support,1,Ticket about 2fa issue. Customer contacted via Email in US. Priority medium. Suggested root cause: 2fa issue. Recommended action: standard troubleshooting.
TCK-100034,2025-11-23 17:00:00,Email,Mexico,Booking Issue,pricing mismatch,Low,Resolved,166,8.14,3.5,Tier 2,1,Ticket about pricing mismatch. Customer contacted via Email in Mexico. Priority low. Suggested root cause: pricing mismatch. Recommended action: standard troubleshooting.
TCK-100035,2026-02-15 19:00:00,Chat,Brazil,Booking Issue,pricing mismatch,Medium,Resolved,16,7.23,4.1,Host Support,0,Ticket about pricing mismatch. Customer contacted via Chat in Brazil. Priority medium. Suggested root cause: pricing mismatch. Recommended action: standard troubleshooting.
TCK-100036,2026-03-28 10:00:00,Chat,Spain,Check-in Problem,access code not working,Medium,Resolved,19,10.15,4.3,Payments Desk,0,Ticket about access code not working. Customer contacted via Chat in Spain. Priority medium. Suggested root cause: access code not working. Recommended action: standard troubleshooting.
TCK-100037,2026-03-06 01:00:00,Email,Portugal,Check-in Problem,late check-in,Medium,Resolved,149,5.84,2.5,Tier 1,1,Ticket about late check-in. Customer contacted via Email in Portugal. Priority medium. Suggested root cause: late check-in. Recommended action: standard troubleshooting.
TCK-100038,2025-10-26 00:00:00,Phone,Mexico,Payment & Card,card declined,Urgent,Escalated,6,9.93,5.0,Tier 2,0,Ticket about card declined. Customer contacted via Phone in Mexico. Priority urgent. Suggested root cause: card declined. Recommended action: expedite specialist review.
TCK-100039,2026-02-04 03:00:00,WhatsApp,Brazil,Check-in Problem,late check-in,High,Resolved,28,5.76,4.2,Guest Support,0,Ticket about late check-in. Customer contacted via WhatsApp in Brazil. Priority high. Suggested root cause: late check-in. Recommended action: expedite specialist review.
TCK-100040,2025-10-03 16:00:00,Phone,US,Account Access,account locked,Urgent,Resolved,4,5.31,4.7,Tier 1,0,Ticket about account locked. Customer contacted via Phone in US. Priority urgent. Suggested root cause: account locked. Recommended action: expedite specialist review.
TCK-100041,2025-11-06 12:00:00,Chat,Spain,Account Access,account locked,Medium,Resolved,21,2.0,5.0,Payments Desk,0,Ticket about account locked. Customer contacted via Chat in Spain. Priority medium. Suggested root cause: account locked. Recommended action: standard troubleshooting.
TCK-100042,2025-12-09 11:00:00,Phone,Brazil,Account Access,account locked,Medium,Escalated,6,5.29,5.0,Tier 1,0,Ticket about account locked. Customer contacted via Phone in Brazil. Priority medium. Suggested root cause: account locked. Recommended action: standard troubleshooting.
TCK-100043,2025-11-01 12:00:00,Phone,US,Account Access,2fa issue,Low,Resolved,10,3.75,4.3,Payments Desk,0,Ticket about 2fa issue. Customer contacted via Phone in US. Priority low. Suggested root cause: 2fa issue. Recommended action: standard troubleshooting.
TCK-100044,2025-11-25 03:00:00,WhatsApp,Brazil,Account Access,2fa issue,Low,Resolved,39,1.59,4.2,Tier 2,0,Ticket about 2fa issue. Customer contacted via WhatsApp in Brazil. Priority low. Suggested root cause: 2fa issue. Recommended action: standard troubleshooting.
TCK-100045,2025-10-13 07:00:00,Chat,Portugal,Check-in Problem,host unavailable,Low,Resolved,17,8.54,3.6,Tier 1,0,Ticket about host unavailable. Customer contacted via Chat in Portugal. Priority low. Suggested root cause: host unavailable. Recommended action: standard troubleshooting.
TCK-100046,2026-01-31 03:00:00,Chat,US,Refund Request,refund denied,Medium,Resolved,24,16.28,3.3,Host Support,1,Ticket about refund denied. Customer contacted via Chat in US. Priority medium. Suggested root cause: refund denied. Recommended action: standard troubleshooting.
TCK-100047,2025-11-22 18:00:00,Chat,Portugal,Refund Request,refund delay,Low,Pending,26,19.79,3.7,Payments Desk,1,Ticket about refund delay. Customer contacted via Chat in Portugal. Priority low. Suggested root cause: refund delay. Recommended action: standard troubleshooting.
TCK-100048,2026-02-18 12:00:00,Chat,Spain,Account Access,account locked,Low,Resolved,28,1.46,4.3,Host Support,0,Ticket about account locked. Customer contacted via Chat in Spain. Priority low. Suggested root cause: account locked. Recommended action: standard troubleshooting.
TCK-100049,2025-10-14 05:00:00,Chat,Portugal,Cancellation,guest cancellation,Medium,Escalated,19,11.72,3.3,Tier 2,0,Ticket about guest cancellation. Customer contacted via Chat in Portugal. Priority medium. Suggested root cause: guest cancellation. Recommended action: standard troubleshooting.
TCK-100050,2025-12-16 02:00:00,Chat,Portugal,Booking Issue,pricing mismatch,Medium,Escalated,12,10.15,4.4,Payments Desk,0,Ticket about pricing mismatch. Customer contacted via Chat in Portugal. Priority medium. Suggested root cause: pricing mismatch. Recommended action: standard troubleshooting.
TCK-100051,2026-01-28 20:00:00,WhatsApp,Brazil,Account Access,account locked,Medium,Resolved,37,4.76,3.7,Payments Desk,0,Ticket about account locked. Customer contacted via WhatsApp in Brazil. Priority medium. Suggested root cause: account locked. Recommended action: standard troubleshooting.
TCK-100052,2025-11-30 22:00:00,Email,US,Payment & Card,chargeback,Medium,Resolved,148,14.64,2.6,Payments Desk,1,Ticket about chargeback. Customer contacted via Email in US. Priority medium. Suggested root cause: chargeback. Recommended action: standard troubleshooting.
TCK-100053,2026-02-26 22:00:00,Email,Portugal,Payment & Card,double charge,High,Resolved,184,12.94,2.3,Tier 1,1,Ticket about double charge. Customer contacted via Email in Portugal. Priority high. Suggested root cause: double charge. Recommended action: expedite specialist review.
TCK-100054,2026-02-26 20:00:00,Chat,Spain,Booking Issue,pricing mismatch,Medium,Open,20,6.86,4.8,Payments Desk,0,Ticket about pricing mismatch. Customer contacted via Chat in Spain. Priority medium. Suggested root cause: pricing mismatch. Recommended action: standard troubleshooting.
TCK-100055,2026-01-16 03:00:00,Phone,Brazil,Account Access,password reset,Medium,Resolved,12,2.19,4.9,Host Support,0,Ticket about password reset. Customer contacted via Phone in Brazil. Priority medium. Suggested root cause: password reset. Recommended action: standard troubleshooting.
TCK-100056,2026-01-09 22:00:00,Chat,Portugal,Payment & Card,card declined,High,Resolved,17,13.71,4.3,Tier 2,1,Ticket about card declined. Customer contacted via Chat in Portugal. Priority high. Suggested root cause: card declined. Recommended action: expedite specialist review.
TCK-100057,2026-01-11 17:00:00,Email,Spain,Cancellation,policy dispute,Medium,Resolved,131,8.34,3.2,Guest Support,1,Ticket about policy dispute. Customer contacted via Email in Spain. Priority medium. Suggested root cause: policy dispute. Recommended action: standard troubleshooting.
TCK-100058,2026-01-18 23:00:00,WhatsApp,Mexico,Cancellation,host cancellation,Medium,Escalated,27,9.83,4.4,Tier 2,0,Ticket about host cancellation. Customer contacted via WhatsApp in Mexico. Priority medium. Suggested root cause: host cancellation. Recommended action: standard troubleshooting.
TCK-100059,2025-10-29 22:00:00,Phone,US,Check-in Problem,host unavailable,High,Resolved,9,6.92,4.2,Payments Desk,0,Ticket about host unavailable. Customer contacted via Phone in US. Priority high. Suggested root cause: host unavailable. Recommended action: expedite specialist review.
TCK-100060,2025-12-16 16:00:00,Email,US,Refund Request,refund delay,Medium,Resolved,190,17.42,3.9,Tier 1,1,Ticket about refund delay. Customer contacted via Email in US. Priority medium. Suggested root cause: refund delay. Recommended action: standard troubleshooting.
TCK-100061,2026-03-05 10:00:00,Chat,Portugal,Cancellation,policy dispute,Medium,Resolved,20,8.11,3.5,Tier 1,0,Ticket about policy dispute. Customer contacted via Chat in Portugal. Priority medium. Suggested root cause: policy dispute. Recommended action: standard troubleshooting.
TCK-100062,2025-11-06 09:00:00,Chat,Brazil,Cancellation,guest cancellation,Medium,Resolved,20,9.51,4.7,Tier 1,0,Ticket about guest cancellation. Customer contacted via Chat in Brazil. Priority medium. Suggested root cause: guest cancellation. Recommended action: standard troubleshooting.
TCK-100063,2026-03-05 19:00:00,Phone,Portugal,Refund Request,partial refund,Medium,Pending,11,17.84,2.9,Guest Support,1,Ticket about partial refund. Customer contacted via Phone in Portugal. Priority medium. Suggested root cause: partial refund. Recommended action: standard troubleshooting.
TCK-100064,2026-02-23 15:00:00,Chat,Portugal,Payment & Card,chargeback,Medium,Pending,11,13.02,4.1,Payments Desk,1,Ticket about chargeback. Customer contacted via Chat in Portugal. Priority medium. Suggested root cause: chargeback. Recommended action: standard troubleshooting.
TCK-100065,2026-03-27 22:00:00,Chat,Spain,Cancellation,policy dispute,Medium,Resolved,18,7.26,4.3,Tier 2,0,Ticket about policy dispute. Customer contacted via Chat in Spain. Priority medium. Suggested root cause: policy dispute. Recommended action: standard troubleshooting.
TCK-100066,2026-01-01 17:00:00,Email,Mexico,Check-in Problem,access code not working,Low,Resolved,188,5.56,3.9,Tier 2,1,Ticket about access code not working. Customer contacted via Email in Mexico. Priority low. Suggested root cause: access code not working. Recommended action: standard troubleshooting.
TCK-100067,2025-12-13 00:00:00,WhatsApp,Spain,Booking Issue,payment failure,Medium,Resolved,35,6.49,4.5,Tier 2,0,Ticket about payment failure. Customer contacted via WhatsApp in Spain. Priority medium. Suggested root cause: payment failure. Recommended action: standard troubleshooting.
TCK-100068,2026-02-21 09:00:00,Email,Brazil,Cancellation,policy dispute,Medium,Resolved,159,12.38,4.5,Payments Desk,1,Ticket about policy dispute. Customer contacted via Email in Brazil. Priority medium. Suggested root cause: policy dispute. Recommended action: standard troubleshooting.
TCK-100069,2026-01-10 22:00:00,Chat,Portugal,Cancellation,host cancellation,Medium,Resolved,11,7.94,4.6,Tier 1,0,Ticket about host cancellation. Customer contacted via Chat in Portugal. Priority medium. Suggested root cause: host cancellation. Recommended action: standard troubleshooting.
TCK-100070,2026-02-10 17:00:00,WhatsApp,Mexico,Check-in Problem,host unavailable,High,Escalated,34,6.23,5.0,Guest Support,0,Ticket about host unavailable. Customer contacted via WhatsApp in Mexico. Priority high. Suggested root cause: host unavailable. Recommended action: expedite specialist review.
TCK-100071,2025-10-10 04:00:00,Email,US,Cancellation,policy dispute,High,Resolved,138,11.0,4.5,Host Support,1,Ticket about policy dispute. Customer contacted via Email in US. Priority high. Suggested root cause: policy dispute. Recommended action: expedite specialist review.
TCK-100072,2025-12-02 00:00:00,WhatsApp,Spain,Booking Issue,payment failure,Medium,Resolved,40,8.31,4.7,Host Support,0,Ticket about payment failure. Customer contacted via WhatsApp in Spain. Priority medium. Suggested root cause: payment failure. Recommended action: standard troubleshooting.
TCK-100073,2026-01-03 23:00:00,Email,Portugal,Cancellation,host cancellation,Low,Resolved,147,11.98,3.5,Payments Desk,1,Ticket about host cancellation. Customer contacted via Email in Portugal. Priority low. Suggested root cause: host cancellation. Recommended action: standard troubleshooting.
TCK-100074,2025-12-16 12:00:00,Email,US,Account Access,password reset,Urgent,Resolved,100,7.89,2.9,Tier 1,1,Ticket about password reset. Customer contacted via Email in US. Priority urgent. Suggested root cause: password reset. Recommended action: expedite specialist review.
TCK-100075,2025-11-22 00:00:00,WhatsApp,US,Refund Request,refund delay,Medium,Resolved,41,14.45,3.2,Payments Desk,1,Ticket about refund delay. Customer contacted via WhatsApp in US. Priority medium. Suggested root cause: refund delay. Recommended action: standard troubleshooting.
TCK-100076,2026-02-03 21:00:00,Email,Mexico,Refund Request,refund denied,Urgent,Resolved,136,12.74,2.3,Tier 1,1,Ticket about refund denied. Customer contacted via Email in Mexico. Priority urgent. Suggested root cause: refund denied. Recommended action: expedite specialist review.
TCK-100077,2026-01-15 11:00:00,WhatsApp,Portugal,Payment & Card,double charge,Urgent,Resolved,18,11.3,3.7,Guest Support,0,Ticket about double charge. Customer contacted via WhatsApp in Portugal. Priority urgent. Suggested root cause: double charge. Recommended action: expedite specialist review.
TCK-100078,2025-12-22 21:00:00,Phone,Brazil,Booking Issue,pricing mismatch,High,Resolved,9,7.75,3.7,Guest Support,0,Ticket about pricing mismatch. Customer contacted via Phone in Brazil. Priority high. Suggested root cause: pricing mismatch. Recommended action: expedite specialist review.
TCK-100079,2025-10-15 00:00:00,WhatsApp,Spain,Check-in Problem,host unavailable,Low,Pending,62,8.89,2.8,Tier 1,1,Ticket about host unavailable. Customer contacted via WhatsApp in Spain. Priority low. Suggested root cause: host unavailable. Recommended action: standard troubleshooting.
TCK-100080,2026-02-21 09:00:00,WhatsApp,Spain,Cancellation,guest cancellation,High,Pending,31,7.04,4.8,Tier 2,0,Ticket about guest cancellation. Customer contacted via WhatsApp in Spain. Priority high. Suggested root cause: guest cancellation. Recommended action: expedite specialist review.
TCK-100081,2026-02-26 15:00:00,Phone,Brazil,Refund Request,refund denied,High,Resolved,6,15.05,3.9,Host Support,1,Ticket about refund denied. Customer contacted via Phone in Brazil. Priority high. Suggested root cause: refund denied. Recommended action: expedite specialist review.
TCK-100082,2026-03-08 16:00:00,Phone,Spain,Cancellation,policy dispute,High,Pending,10,5.86,4.0,Tier 1,0,Ticket about policy dispute. Customer contacted via Phone in Spain. Priority high. Suggested root cause: policy dispute. Recommended action: expedite specialist review.
TCK-100083,2026-01-04 04:00:00,WhatsApp,Brazil,Cancellation,guest cancellation,Medium,Resolved,30,8.56,5.0,Tier 1,0,Ticket about guest cancellation. Customer contacted via WhatsApp in Brazil. Priority medium. Suggested root cause: guest cancellation. Recommended action: standard troubleshooting.
TCK-100084,2026-03-18 17:00:00,WhatsApp,Mexico,Check-in Problem,late check-in,Medium,Resolved,38,3.23,4.8,Payments Desk,0,Ticket about late check-in. Customer contacted via WhatsApp in Mexico. Priority medium. Suggested root cause: late check-in. Recommended action: standard troubleshooting.
TCK-100085,2026-01-03 07:00:00,Chat,US,Payment & Card,card declined,Medium,Resolved,27,16.27,2.4,Guest Support,1,Ticket about card declined. Customer contacted via Chat in US. Priority medium. Suggested root cause: card declined. Recommended action: standard troubleshooting.
TCK-100086,2025-12-22 00:00:00,WhatsApp,Portugal,Account Access,2fa issue,High,Resolved,25,6.19,3.7,Tier 2,0,Ticket about 2fa issue. Customer contacted via WhatsApp in Portugal. Priority high. Suggested root cause: 2fa issue. Recommended action: expedite specialist review.
TCK-100087,2026-02-16 00:00:00,Phone,Brazil,Account Access,password reset,Medium,Resolved,11,5.7,3.6,Payments Desk,0,Ticket about password reset. Customer contacted via Phone in Brazil. Priority medium. Suggested root cause: password reset. Recommended action: standard troubleshooting.
TCK-100088,2026-02-23 05:00:00,Phone,Spain,Account Access,account locked,High,Resolved,8,0.5,3.5,Payments Desk,0,Ticket about account locked. Customer contacted via Phone in Spain. Priority high. Suggested root cause: account locked. Recommended action: expedite specialist review.
TCK-100089,2025-12-18 16:00:00,Chat,Spain,Booking Issue,pricing mismatch,Low,Resolved,21,8.5,5.0,Tier 2,0,Ticket about pricing mismatch. Customer contacted via Chat in Spain. Priority low. Suggested root cause: pricing mismatch. Recommended action: standard troubleshooting.
TCK-100090,2025-12-05 09:00:00,WhatsApp,Spain,Refund Request,refund denied,High,Open,17,14.33,3.6,Guest Support,1,Ticket about refund denied. Customer contacted via WhatsApp in Spain. Priority high. Suggested root cause: refund denied. Recommended action: expedite specialist review.
TCK-100091,2026-01-05 14:00:00,Phone,Mexico,Booking Issue,duplicate booking,Medium,Resolved,13,5.84,5.0,Guest Support,0,Ticket about duplicate booking. Customer contacted via Phone in Mexico. Priority medium. Suggested root cause: duplicate booking. Recommended action: standard troubleshooting.
TCK-100092,2025-11-13 04:00:00,Email,Brazil,Check-in Problem,late check-in,Medium,Open,140,3.84,4.1,Host Support,1,Ticket about late check-in. Customer contacted via Email in Brazil. Priority medium. Suggested root cause: late check-in. Recommended action: standard troubleshooting.
TCK-100093,2025-11-05 00:00:00,Phone,Portugal,Booking Issue,pricing mismatch,Medium,Resolved,10,7.68,4.2,Tier 1,0,Ticket about pricing mismatch. Customer contacted via Phone in Portugal. Priority medium. Suggested root cause: pricing mismatch. Recommended action: standard troubleshooting.
TCK-100094,2025-12-26 04:00:00,Email,Portugal,Cancellation,guest cancellation,Medium,Pending,126,10.25,4.3,Tier 1,1,Ticket about guest cancellation. Customer contacted via Email in Portugal. Priority medium. Suggested root cause: guest cancellation. Recommended action: standard troubleshooting.
TCK-100095,2025-11-21 18:00:00,Phone,US,Refund Request,refund denied,Urgent,Resolved,10,9.88,5.0,Host Support,0,Ticket about refund denied. Customer contacted via Phone in US. Priority urgent. Suggested root cause: refund denied. Recommended action: expedite specialist review.
TCK-100096,2025-12-17 00:00:00,WhatsApp,Portugal,Payment & Card,chargeback,Medium,Pending,17,13.67,3.9,Host Support,1,Ticket about chargeback. Customer contacted via WhatsApp in Portugal. Priority medium. Suggested root cause: chargeback. Recommended action: standard troubleshooting.
TCK-100097,2026-01-13 05:00:00,Email,Brazil,Payment & Card,double charge,Urgent,Resolved,107,8.43,4.1,Tier 2,1,Ticket about double charge. Customer contacted via Email in Brazil. Priority urgent. Suggested root cause: double charge. Recommended action: expedite specialist review.
TCK-100098,2025-12-12 00:00:00,Email,Mexico,Check-in Problem,host unavailable,Medium,Resolved,122,4.7,4.4,Tier 2,1,Ticket about host unavailable. Customer contacted via Email in Mexico. Priority medium. Suggested root cause: host unavailable. Recommended action: standard troubleshooting.
TCK-100099,2025-10-01 21:00:00,WhatsApp,Spain,Cancellation,host cancellation,Low,Resolved,46,10.98,4.8,Payments Desk,0,Ticket about host cancellation. Customer contacted via WhatsApp in Spain. Priority low. Suggested root cause: host cancellation. Recommended action: standard troubleshooting.
TCK-100100,2026-03-04 23:00:00,Chat,Spain,Booking Issue,pricing mismatch,High,Pending,16,9.44,4.6,Tier 2,0,Ticket about pricing mismatch. Customer contacted via Chat in Spain. Priority high. Suggested root cause: pricing mismatch. Recommended action: expedite specialist review.
TCK-100101,2026-02-23 02:00:00,Chat,Mexico,Booking Issue,pricing mismatch,Urgent,Pending,8,5.07,4.7,Tier 1,0,Ticket about pricing mismatch. Customer contacted via Chat in Mexico. Priority urgent. Suggested root cause: pricing mismatch. Recommended action: expedite specialist review.
TCK-100102,2025-10-21 08:00:00,Phone,Portugal,Refund Request,partial refund,Low,Pending,14,22.45,3.6,Host Support,1,Ticket about partial refund. Customer contacted via Phone in Portugal. Priority low. Suggested root cause: partial refund. Recommended action: standard troubleshooting.
TCK-100103,2026-01-01 22:00:00,WhatsApp,Portugal,Payment & Card,double charge,Low,Resolved,54,16.2,3.9,Host Support,1,Ticket about double charge. Customer contacted via WhatsApp in Portugal. Priority low. Suggested root cause: double charge. Recommended action: standard troubleshooting.
TCK-100104,2026-01-19 00:00:00,Email,US,Payment & Card,chargeback,Medium,Pending,132,13.52,3.9,Guest Support,1,Ticket about chargeback. Customer contacted via Email in US. Priority medium. Suggested root cause: chargeback. Recommended action: standard troubleshooting.
TCK-100105,2025-10-08 01:00:00,Email,Mexico,Account Access,2fa issue,Medium,Resolved,168,5.79,4.6,Payments Desk,1,Ticket about 2fa issue. Customer contacted via Email in Mexico. Priority medium. Suggested root cause: 2fa issue. Recommended action: standard troubleshooting.
TCK-100106,2025-12-01 22:00:00,WhatsApp,US,Payment & Card,chargeback,Medium,Resolved,35,15.5,3.3,Payments Desk,1,Ticket about chargeback. Customer contacted via WhatsApp in US. Priority medium. Suggested root cause: chargeback. Recommended action: standard troubleshooting.
TCK-100107,2025-11-05 16:00:00,WhatsApp,Portugal,Refund Request,partial refund,Medium,Open,37,17.71,3.6,Guest Support,1,Ticket about partial refund. Customer contacted via WhatsApp in Portugal. Priority medium. Suggested root cause: partial refund. Recommended action: standard troubleshooting.
TCK-100108,2025-10-13 12:00:00,Phone,Spain,Cancellation,guest cancellation,Medium,Open,11,8.2,5.0,Host Support,0,Ticket about guest cancellation. Customer contacted via Phone in Spain. Priority medium. Suggested root cause: guest cancellation. Recommended action: standard troubleshooting.
